Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Year
543108,2016-04-17,Texas,Edinburg,5021 W St Hwy 107,1,6,0,0,1,,2016
542259,2016-04-16,Michigan,Detroit,9500 block of Oakland,1,4,0,0,1,,2016
541987,2016-04-16,Florida,Orlando,1100 block of Conley Street,2,4,0,0,2,,2016
542362,2016-04-16,Alabama,Enterprise,Baxter Street,0,4,0,0,0,,2016
537825,2016-04-10,Wisconsin,Milwaukee,76th and Sheridan,1,3,0,0,0,,2016
537820,2016-04-10,California,Los Angeles,84th Street and Towne Avenue,0,4,0,0,0,,2016
537311,2016-04-09,Tennessee,Memphis,Mt Moriah Road and Ridgeway Road,0,4,0,0,0,,2016
539705,2016-04-09,Alabama,Anniston,West 15th Street and Crawford Avenue,0,4,0,0,0,,2016
537085,2016-04-09,New Mexico,Albuquerque,2600 block of Mesa Drive SE,0,4,0,0,1,,2016
535927,2016-04-07,Illinois,Chicago,2200 block of East 70th Place,0,4,0,0,0,,2016
532604,2016-03-31,Illinois,Chicago (Englewood),6800 block of South Throop,0,4,0,0,0,,2016
530049,2016-03-27,Louisiana,Shreveport,Hearne Ave and Hollywood Ave,0,4,0,0,0,,2016
528614,2016-03-25,Illinois,Chicago,4500 block of West West End Avenue,0,4,0,0,0,,2016
529488,2016-03-25,Colorado,Denver,8501 E. Alameda Avenue,0,4,0,0,0,,2016
526380,2016-03-21,Illinois,Chicago,5700 block of West Washington Boulevard,0,4,0,0,0,,2016
525464,2016-03-19,Florida,Plantation,12050 NW 4th Court,1,4,0,0,0,,2016
525301,2016-03-19,Alabama,Wetumpka,South Shelby Street,2,2,0,0,1,,2016
523044,2016-03-15,Georgia,Atlanta,Donald Lee Hollowell Drive,0,5,0,0,0,,2016
522122,2016-03-13,Florida,Fort Myers,50 South Road,0,4,0,0,0,,2016
521821,2016-03-12,Oregon,Portland,16126 S.E. Stark St.,0,4,0,0,1,,2016
521074,2016-03-12,California,Oakland,I-880 and I-80,0,4,0,0,0,,2016
520767,2016-03-11,Michigan,Detroit,2600 block of Hazelwood,2,2,0,0,0,,2016
520290,2016-03-11,New Jersey,Trenton,Oliver Avenue,0,5,0,0,0,,2016
519541,2016-03-09,Pennsylvania,Pittsburgh (Wilkinsburg),1304 Franklin Ave,6,2,0,0,0,,2016
518266,2016-03-08,Texas,San Antonio,Sherman St,2,3,0,0,0,,2016
517895,2016-03-07,Louisiana,Lafayette,800 block of Martin Luther King Jr. Drive,0,4,0,0,0,,2016
518436,2016-03-07,Kansas,Kansas City,3000 block of South 36th Street,5,0,0,0,1,,2016
517058,2016-03-06,Massachusetts,Chelsea,120 Washington Avenue,1,6,0,0,1,,2016
517114,2016-03-06,Georgia,Roswell,890 Atlanta St,0,4,0,0,1,,2016
517073,2016-03-06,California,Compton,900 block of West Victoria Street,1,8,0,0,0,,2016
516758,2016-03-05,Kansas,Wichita,116 North Mead,0,4,0,0,0,,2016
516341,2016-03-04,Ohio,Columbus,900 E 5th Ave,1,3,0,0,1,,2016
513640,2016-02-28,California,Mira Loma,5500 block of Etiwanda Ave,1,3,0,0,1,,2016
513549,2016-02-28,Michigan,Detroit,8800 block of Livernois,0,5,0,0,0,,2016
512880,2016-02-27,Virginia,Woodbridge (Lake Ridge),13051 Lashmere Ct,2,2,0,0,1,,2016
512073,2016-02-26,Washington,Belfair,300 block of Horseshoe Rd,4,0,1,0,0,,2016
511436,2016-02-25,Kansas,Hesston,200 S Ridge Rd,3,14,1,0,0,,2016
509897,2016-02-23,Arizona,Glendale,4812 West Sunnyside Ave,4,0,1,0,0,,2016
510769,2016-02-23,Florida,Daytona Beach,1042 Sheridan Road,0,4,0,0,2,,2016
509707,2016-02-21,Texas,Houston,5100 block of Idaho Street,0,5,0,0,0,,2016
508879,2016-02-21,Missouri,Hazelwood,7217 N Lindbergh Blvd,1,3,0,0,3,,2016
508341,2016-02-20,Florida,Tampa,2810 E. Bearss Ave,1,3,0,0,0,,2016
508640,2016-02-20,Michigan,Kalamazoo,5581 Cracker Barrel Blvd,6,2,0,0,1,,2016
508356,2016-02-20,Alabama,Bessemer,200 block of Elm Street,1,3,0,0,0,,2016
508510,2016-02-20,Florida,Orlando,446 S Parramore Ave,0,4,0,0,1,,2016
508113,2016-02-20,Mississippi,Iuka,231 Co Rd 201,1,3,1,0,0,,2016
590221,2016-02-19,Missouri,Edgerton,4100 block of Buena Vista Road,4,0,0,0,1,,2016
507998,2016-02-19,California,Vallejo,509 Porter Street,1,3,0,0,0,,2016
505420,2016-02-14,Alabama,Eutaw,50 Earnest Friday Rd,0,5,0,0,2,,2016
504879,2016-02-14,Texas,Houston,8449 Gulf Freeway,0,4,1,0,0,,2016
504996,2016-02-13,Louisiana,Marrero,5425 Lapalco Boulevard,0,4,0,0,1,,2016
501256,2016-02-07,Mississippi,Pass Christian,Davis Avenue,2,4,0,0,5,,2016
501233,2016-02-07,Florida,Orlando,7432 Universal Blvd,2,10,0,0,4,,2016
501168,2016-02-07,New York,Rochester,547 State St,1,7,0,0,4,,2016
501349,2016-02-07,Illinois,Chicago (Englewood),6500 block of South Green Street,0,4,0,0,0,,2016
501267,2016-02-06,California,Los Angeles,12800 block of Cook Street,1,3,0,0,0,,2016
500629,2016-02-06,Florida,Apopka,10th Street,0,4,0,0,0,,2016
500556,2016-02-06,Florida,Tampa,8123 N Nebraska Ave,2,6,0,0,0,,2016
499422,2016-02-03,District of Columbia,Washington,1500 block of Butler St SE,0,4,0,0,0,,2016
495940,2016-01-30,Arizona,Glendale,67th and Missouri Avenue,3,5,0,0,0,,2016
494378,2016-01-27,Virginia,Chesapeake,1401 N. George Washington Hwy,5,0,1,0,0,,2016
493536,2016-01-26,Washington,Seattle,Airport Way S. and S. Atlantic St.,2,3,0,0,1,,2016
493085,2016-01-25,California,Perris,140 S. D Street,1,4,0,0,1,,2016
491312,2016-01-23,California,Los Angeles,8105 Avalon Blvd,2,2,0,0,0,,2016
486728,2016-01-17,Virginia,Gloucester,Ditchley Dr and Gill Ln,1,3,0,0,1,,2016
483750,2016-01-11,Delaware,Wilmington,900 block of Brown Street,1,4,0,0,0,,2016
481849,2016-01-08,District of Columbia,Washington,1700 E Capitol St NE,0,4,0,0,0,,2016
481900,2016-01-08,Illinois,Chicago,1500 block of South Kedzie,1,4,0,0,0,,2016
481429,2016-01-07,Tennessee,Memphis,3800 block of Kerwood Avenue,1,3,0,0,1,,2016
479613,2016-01-06,Florida,Lakeland,2312 East Magnolia Street,3,1,0,0,4,,2016
1017372,2017-12-31,Colorado,Littleton (Highlands Ranch),3404 E County Line Rd,1,6,1,0,0,,2017
1017422,2017-12-31,Illinois,Chicago,2335 Howard St,0,4,0,0,0,,2017
1018118,2017-12-31,New Jersey,Long Branch,635 Wall St,4,0,0,0,1,,2017
1015666,2017-12-27,Nevada,Las Vegas,3750 E Bonanza Rd,2,2,0,0,1,,2017
1015336,2017-12-26,Florida,Miami,NW 18th Ave and 86th Ter,0,5,0,0,0,,2017
1013983,2017-12-24,Mississippi,Vicksburg,1111 Mulberry Street,0,5,0,0,1,,2017
1014052,2017-12-24,Alabama,Troy,100 block of Chapman St,1,4,0,0,1,,2017
1014971,2017-12-23,Louisiana,Eunice,100 block of City Avenue,1,3,0,0,1,,2017
1013377,2017-12-23,Alabama,Birmingham,3rd Ave N and 9th St N,0,4,0,0,0,,2017
1012704,2017-12-21,Louisiana,Lafayette,1500 block of N University Avenue,0,4,0,0,0,,2017
1011953,2017-12-21,Pennsylvania,Philadelphia,6600 block of Dorel St,0,0,1,3,0,,2017
1009629,2017-12-16,Mississippi,Mc Cool (Mccool),Ferguson Rd,0,4,0,0,1,,2017
1008310,2017-12-15,California,Pacoima,13041 Jouett Street,0,5,0,0,0,,2017
1007054,2017-12-13,Ohio,Columbus,200 block of E Barthman Ave,1,3,0,0,0,,2017
1006150,2017-12-12,Kentucky,Louisville,17th and Gallagher Streets,0,4,0,0,3,,2017
1006446,2017-12-12,Texas,Garland,1301 Rivercrest Ln,0,4,0,0,0,,2017
1004454,2017-12-09,Massachusetts,Boston,Proctor St,0,4,0,0,1,,2017
1002514,2017-12-06,Illinois,Chicago,4620 N Broadway,0,4,0,0,0,,2017
1001566,2017-12-04,Pennsylvania,Pittsburgh,7200 block of Everton St,2,2,0,0,0,,2017
1000479,2017-12-03,Tennessee,Memphis,656 Marshall Ave,1,3,0,0,2,,2017
999969,2017-12-02,Michigan,Detroit,5200 Woodward Avenue,0,4,0,0,1,,2017
998843,2017-11-30,Michigan,Detroit,11000 block of Gunston,1,4,0,0,0,,2017
994323,2017-11-24,Mississippi,Brookhaven,119 Martin Street,1,6,0,0,0,,2017
995015,2017-11-24,Ohio,Cleveland,11618 Buckeye Rd,1,5,0,0,5,,2017
991017,2017-11-18,Minnesota,Minneapolis,3600 block of N Emerson Ave,0,4,0,0,0,,2017
990974,2017-11-17,Louisiana,New Iberia,900 Block of Mississippi St,0,4,0,0,0,,2017
989838,2017-11-16,Georgia,Columbus,1400 block of 15th Street,0,7,0,0,0,,2017
988824,2017-11-14,California,Richmond,900 Block of View Dr,2,2,0,0,0,,2017
987611,2017-11-14,California,Corning,17357 Stagecoach Rd,5,12,1,0,0,,2017
986236,2017-11-12,Indiana,Gary,4601 Melton Rd,0,7,0,0,1,,2017
987134,2017-11-12,California,Fresno,S Calvin Ave,0,5,0,0,0,,2017
986816,2017-11-12,Georgia,Atlanta,50 Lower Alabama St,2,2,0,0,1,,2017
985582,2017-11-11,Texas,Dallas,2532 Martin Luther King Jr Blvd,1,3,0,0,0,,2017
985832,2017-11-11,North Carolina,Fayetteville,2835 Bragg Blvd,1,4,0,1,0,,2017
986092,2017-11-11,Louisiana,New Orleans,Forstall St and Burgundy St,1,5,0,0,0,,2017
984822,2017-11-10,Ohio,Dayton (Trotwood),193 Olive Rd,0,4,0,0,0,,2017
984455,2017-11-09,Pennsylvania,Philadelphia,1800 block of Ringgold,0,4,0,0,0,,2017
980577,2017-11-05,Texas,Sutherland Springs,216 4th St,26,20,1,0,0,,2017
980269,2017-11-04,Texas,Austin,N Lamar Blvd and Masterson Pass,0,4,0,0,1,,2017
980192,2017-11-04,Ohio,Youngstown,2810 Market St,0,4,0,0,0,,2017
980060,2017-11-04,California,Santa Monica,1515 Ocean Avenue,1,3,0,0,0,,2017
979651,2017-11-03,Minnesota,Minneapolis,10th Ave S and E 24th St,0,4,0,0,1,,2017
980258,2017-11-03,California,Gardena,E 163rd St and S Main St,0,4,0,0,0,,2017
980004,2017-11-03,New York,Buffalo,147 Roosevelt Ave,0,4,0,0,0,,2017
980401,2017-11-03,Louisiana,Lacombe,27600 block of Mirmar Street,0,4,1,0,1,,2017
975600,2017-10-29,Texas,Austin,5500 block of Ave F,1,3,0,0,1,,2017
975817,2017-10-28,Ohio,Toledo,1327 N Huron St,0,4,0,0,0,,2017
974704,2017-10-28,Virginia,Petersburg,N Sycamore St and Franklin,1,3,0,0,0,,2017
974051,2017-10-27,Kentucky,Louisville,1716 Prentice St,0,6,0,0,0,,2017
974411,2017-10-27,California,San Francisco,1100 block of Fillmore,0,4,0,0,0,,2017
966895,2017-10-23,California,Clearlake Oaks,13000 block of Anchor Village,2,3,0,0,1,,2017
966153,2017-10-22,Connecticut,Hartford,Wethersfield Avenue and Elliott Street,0,4,0,0,0,,2017
966178,2017-10-22,Alabama,Lanett,1606 19th St Sw,2,7,0,0,2,,2017
965066,2017-10-21,Florida,Tampa,400 block of E Nordica St,0,4,0,0,0,,2017
965077,2017-10-21,Florida,Jacksonville,164 E Eubanks St,0,4,0,0,0,,2017
965756,2017-10-21,Tennessee,Nashville,1277 12th Ave S,0,4,0,0,0,,2017
965251,2017-10-21,Pennsylvania,Chester,1200 block of W Carlas Ln,0,4,0,0,0,,2017
962359,2017-10-18,Maryland,Edgewood,2111 Emmorton Park Rd,3,3,0,0,1,,2017
